epoch,acc,loss,mean_squared_error,sp,val_acc,val_loss,val_mean_squared_error
0,0.45166666666666666,1.1113632460876748,1.075819460021125,0.6857857031277118,0.5339583333333333,1.0322915077209474,1.0322915077209474
1,0.5848842591709561,0.8233210906275996,0.9808468302090962,0.6911364578627806,0.6195833337306976,0.9288729174931845,0.9288729174931845
2,0.6426157408290439,0.6731551602151659,0.8767816825266238,0.6857857031277118,0.6589583325386047,0.8340377116203308,0.8340377116203308
3,0.680486111022808,0.589492243749124,0.7917142860094706,0.6750421517187907,0.6945833333333333,0.7600590101877849,0.7600590101877849
4,0.7132407406524376,0.5353676382700602,0.7225600103095726,0.6723473698809981,0.7216666674613953,0.6999208323160807,0.6999208323160807
5,0.7391435184302153,0.4959073864530634,0.6686812346952933,0.6696489829650848,0.7487500007947286,0.6489478770891826,0.6489478770891826
6,0.7646990740740741,0.46642909548900746,0.6147093948611507,0.6669469667268529,0.7670833333333333,0.6080717730522156,0.6080717730522156
7,0.7809259259259259,0.44304955023306386,0.5806852622385378,0.6669469667268529,0.7802083333333333,0.5849856972694397,0.5849856972694397
8,0.7881944445327477,0.42506425826637834,0.5612535745126229,0.6642412966270391,0.7931250007947286,0.5564633615811666,0.5564633615811666
9,0.7990972221339191,0.41103419078720943,0.5365517451145031,0.6615319478260995,0.7993750007947286,0.5393530893325805,0.5393530893325805
10,0.8076851852734883,0.39953092133557355,0.5162814539450187,0.6615319478260995,0.803958334128062,0.527416140238444,0.527416140238444
11,0.8126157408290439,0.3903120328761913,0.5033848786354065,0.6588188951788726,0.8035416658719381,0.5227077682813008,0.5227077682813008
12,0.816597222133919,0.3825102936780011,0.49498597277535333,0.650657258008007,0.8114583325386048,0.5059145339330038,0.5059145339330038
13,0.8193055555555555,0.3763614692069866,0.4878842300838894,0.650657258008007,0.8149999992052714,0.49500234683354694,0.49500234683354694
14,0.8237731480598449,0.37130617905546115,0.4779553274313609,0.6424613504830169,0.8179166658719381,0.4876086358229319,0.4876086358229319
15,0.8253703704586736,0.36640831739814195,0.47318281456276223,0.6424613504830169,0.8197916658719381,0.48160197695096335,0.48160197695096335
16,0.8289120369487338,0.3631138741528546,0.4645833772641641,0.645197172075535,0.819375,0.48682878732681273,0.48682878732681273
17,0.829837962962963,0.3597033299340142,0.4625163227981991,0.6397216399953967,0.82,0.48268752574920654,0.48268752574920654
18,0.8313657408290439,0.35648712193524396,0.4604540266814055,0.6424613504830169,0.82,0.48076932350794477,0.48076932350794477
19,0.8334259259259259,0.3539641291565365,0.45296669646545695,0.6397216399953967,0.823333334128062,0.4742529014746348,0.4742529014746348
